,ITE_ITEM_TITLE,DESC,CLUSTER
12407,tenis leluel slip on no ostra,tenis leluel slip on no ostr,2
12408,tenis masculino olympikus cyber 2 exercicio espetacular 945,tenis masculino olympikus cyber 2 exercicio espetacular 945,2
12409,kit tenis mvp para crossfit  abstrato  3 pares de meia ,kit tenis mvp para crossfit  abstrato  3 pares de meia ,2
12410,tenis casual tei high em couro feminino,tenis casual tei high em couro feminin,2
12411,tenis on running cloud x feminino preto,tenis on running cloud x feminino pret,1
12412,tenis mule masculino calce facil slip on,tenis mule masculino calce facil slip on,2
12413,bicicleta urbana aro 26  18 rava bolt 21v  preto e laranja,bicicleta urbana aro 26  18 rava bolt 21v  preto e laranj,0
12414,tenis asics gelimpression 10 feminino  pretorosa,tenis asics gelimpression 10 feminino  pretor,1
12415,tenis destroyer millomz country couro pinhao,tenis destroyer millomz country couro pinha,2
12416,tenis triunfo olympikus  masculino  corrida 835,tenis triunfo olympikus  masculino  corrida 835,2
12417,tenis botinha feminino cano alto super envio imediato,tenis botinha feminino cano alto super envio imediat,1
12418,tenis feminino fila squall,tenis feminino fila squall,1
12419,tenis branco feminino casual via marte,tenis branco feminino casual via mart,1
12420,sliper feminino conforto tenis calcados feminino off white,sliper feminino conforto tenis calcados feminino off whit,1
12421,tenis usthemp slipon tematico  sereia,tenis usthemp slipon tematico  sere,2
12422,tenis nike renew run 2 cu3504002,tenis nike renew run 2 cu3504002,2
12423,tenis confortavel modare feminino 7363104,tenis confortavel modare feminino 7363104,1
12424,bicicleta aro 29 quad 19 aluminio 24v freio hidraulico ptlr,bicicleta aro 29 quad 19 aluminio 24v freio hidraulico ptlr,0
12425,sapatilha northwave jet2  usada 2x  ficou justa,sapatilha northwave jet2  usada 2x  ficou just,2
12426,tenis olympikus 130g ultraleve 749 feminino,tenis olympikus 130g ultraleve 749 feminin,2
12427,tenis coca cola atlanta plataforma wave feminino branco,tenis coca cola atlanta plataforma wave feminino branc,1
12428,tenis moda estilo blogueira chique moderno macio dia a dia,tenis moda estilo blogueira chique moderno macio dia a d,2
12429,tenis actvitta acthiper masculino 4908 101,tenis actvitta acthiper masculino 4908 101,2
12430,tenis classic tn3ch3 pink,tenis classic tn3ch3 pink,2
12431,caloi strada,caloi str,2
12432,tenis masculino mizuno jet 4 marinho  brinde  lojas radan,tenis masculino mizuno jet 4 marinho  brinde  lojas radan,2
12433,tenis nesk stay 2 c5512 masculino confortavel macio promocao,tenis nesk stay 2 c5512 masculino confortavel macio promoca,2
12434,tv lg 42  scarlet ccontrolebase,tv lg 42  scarlet ccontrolebas,0
12435,tenis meia feminino casual preto lancamento,tenis meia feminino casual preto lanc,1
12436,tenis hocks de skate sonora burgundy vinho original ,tenis hocks de skate sonora burgundy vinho original ,2
12437,biker  bkr 2270 3439,biker  bkr 2270 3439,2
12438,tenis masculino under armour charged fleet novo lancamento,tenis masculino under armour charged fleet novo lanc,2
12439,tenis infantil 20 ao 27 masculino menino calce facil barato,tenis infantil 20 ao 27 masculino menino calce facil barat,2
12440,tenis masculino esportivo basquete treino academia estilo,tenis masculino esportivo basquete treino academia estil,2
12441,bicicleta gmc shimano 21 speed ,bicicleta gmc shimano 21 speed ,0
12442,sapatenis feminino adulto kadmo vermelho confortavel e leve,sapatenis feminino adulto kadmo vermelho confortavel e lev,1
12443,tenis masculino esportivo caminhada replay confortavel,tenis masculino esportivo caminhada replay conforta,2
12444,kit 2 tenis masculino spider top confortavel leve relogio,kit 2 tenis masculino spider top confortavel leve relogi,2
12445,tenis slip ptah sola plataforma alta costurada,tenis slip ptah sola plataforma alta costur,2
12446,tenis infantil led 25 2627 e 28,tenis infantil led 25 2627 e 28,2
12447,tenis sapatenis masculino casual passeio preco bom promocao,tenis sapatenis masculino casual passeio preco bom promoca,2
12448,bicicleta aro29 volcon q19 cb tras shimano 21v fr mec branco,bicicleta aro29 volcon q19 cb tras shimano 21v fr mec branc,0
12449,tenis comply force pretoazul,tenis comply force pretoazul,2
12450,tenis mizuno masculino original novo,tenis mizuno masculino original nov,2
12451,tenis asics nagoya 3 com cabedal vazado  1012b100403,tenis asics nagoya 3 com cabedal vazado  1012b100403,2
12452,tenis usthemp glam tematico  aquario,tenis usthemp glam tematico  aquari,2
12453,tenis monster everlast feminino preto 100 original  brinde,tenis monster everlast feminino preto 100 original  brind,1
12454,bicicleta caloy aro 29,bicicleta caloy aro 29,0
12455,tenis authentic rosa,tenis authentic r,2
12456,tenis hocks galactica varias cores original cadarco extra,tenis hocks galactica varias cores original cadarco extr,2
12457,nike zoom fly off white,nike zoom fly off whit,2
12458,tenis casual feminino redsun napa branco 09346,tenis casual feminino redsun napa branco 09346,1
12459,tenis masculino esportivo super promocao ,tenis masculino esportivo super promocao ,2
12460,tv lg led smart tv 65la9650  retirada de pecas,tv lg led smart tv 65la9650  retirada de pec,0
12461,tenis feminino cano alto skake via marte casual confortavel,tenis feminino cano alto skake via marte casual conforta,1
12462,tenis feminino moleca casual flatform,tenis feminino moleca casual flatform,1
12463,kit 3 tenis de borracha feminino slip on plataforma 864,kit 3 tenis de borracha feminino slip on plataforma 864,1
12464,kit 5 tenis infantil para escola tenis infanto juvenil leve,kit 5 tenis infantil para escola tenis infanto juvenil lev,2
12465,tenis hero 223 verde militar top,tenis hero 223 verde militar top,2
12466,tenis  wr,tenis  wr,2
12467,tenis feminino converse chuck taylor all star lift preto,tenis feminino converse chuck taylor all star lift pret,1
12468,tenis sapatenis tc lona leve marinho novo promocao old,tenis sapatenis tc lona leve marinho novo promocao old,2
12469,tenis new balance numero 41,tenis new balance numero 41,2
12470,tenis slpon plataforma  calce facil,tenis slpon plataforma  calce facil,2
12471,tenis feminino plataforma lindissimo super oferta,tenis feminino plataforma lindissimo super ofert,1
12472,tenis tie dye quiz slipon flatform ametista,tenis tie dye quiz slipon flatform amet,2
12473,tenis masculino  red nose layer  rnfm106,tenis masculino  red nose layer  rnfm106,2
12474,tv lg 42  led com defeito modelo 42le4600,tv lg 42  led com defeito modelo 42le4600,0
12475,combo 2 pares tenis masculino para academia corrida promocao,combo 2 pares tenis masculino para academia corrida promoca,2
12476,homens pisando na camisa parece super grosso e macio eva deo,homens pisando na camisa parece super grosso e macio eva de,2
12477,kit 2 pares sapatenis casual masculino sw shoes black friday,kit 2 pares sapatenis casual masculino sw shoes black friday,2
12478,tenis masculino running olympikus vortice treino original,tenis masculino running olympikus vortice treino orig,2
12479,tenis dc shoes anvil la preto  preto frete gratis,tenis dc shoes anvil la preto  preto frete gratil,2
12480,tenis branco com rosa labellamafia,tenis branco com rosa labellamaf,2
12481,sapatenis kildare 1381 918 off white,sapatenis kildare 1381 918 off whit,2
12482,tenis moleca feminino napa nature metelasse neo preto,tenis moleca feminino napa nature metelasse neo pret,1
12483,tenis ortobessa infantil personalizado  20 2019,tenis ortobessa infantil personalizado  20 2019,2
12484,tenis feminino e masculino redikal casual skate urbano,tenis feminino e masculino redikal casual skate urb,1
12485,sapatilha ciclismo scott mtb rc boa lancamento 2021,sapatilha ciclismo scott mtb rc boa lancamento 2021,0
12486,sapatilha giro cylinder boa bike mtb spin preto 43br,sapatilha giro cylinder boa bike mtb spin preto 43br,0
12487,tenis olympikus masculino dash preto vermelho frete gratis,tenis olympikus masculino dash preto vermelho frete gratil,2
12488,tenis sneaker crossfit feminino treino academia lancamento,tenis sneaker crossfit feminino treino academia lanc,1
12489,tenis comfortflex 2162305 feminina,tenis comfortflex 2162305 feminin,2
12490,tenis fila recovery masculino academia  fitness,tenis fila recovery masculino academia  fitnes,2
12491,tenis feminino sapatenis slip on iate moda confort macio,tenis feminino sapatenis slip on iate moda confort maci,1
12492,tenis casual cocacola coke 1886 grafite,tenis casual cocacola coke 1886 grafit,2
12493,tenis asics novablast masculino edicao limitada tokyo ,tenis asics novablast masculino edicao limitada tokyo ,2
12494,bicicleta scott cr,bicicleta scott cr,0
12495,adventure bell boots leve confortavel melhor preco 300 847,adventure bell boots leve confortavel melhor preco 300 847,2
12496,sapatenis infantil masculino kids promocao,sapatenis infantil masculino kids promoca,2
12497,sapatilha de ciclismo jet hornet preta bike bicicleta oferta,sapatilha de ciclismo jet hornet preta bike bicicleta ofert,0
12498,sapatenis casual polo way tenis barato envio 24hs oferta ,sapatenis casual polo way tenis barato envio 24hs oferta ,2
12499,smart tv 8k samsung qled 75  modo ambiente  qn75q950tsgxzd,smart tv 8k samsung qled 75  modo ambiente  qn75q950tsgxzd,0
12500,tenis masculino lindo macio e confortavel,tenis masculino lindo macio e conforta,2
12501,tenis usthemp move tematico  gatos lunaticos,tenis usthemp move tematico  gatos luna,2
12502,tenis sapatenis polo urban  couro legitimo leve confortavel,tenis sapatenis polo urban  couro legitimo leve conforta,2
12503,bicicleta absolut aro 29  preta suspencao regulagem,bicicleta absolut aro 29  preta suspencao regul,0
12504,tenis masculino estiloso com elastico calca facil trilupy,tenis masculino estiloso com elastico calca facil trilupy,2
12505,tenis dg sorrento amarelo unissex tluxury,tenis dg sorrento amarelo unissex tluxury,2
12506,tenis feminino vizzano  pelicabranco off 1354114,tenis feminino vizzano  pelicabranco off 1354114,1
12507,tenis olympikus masculino original corrida barato sonoro,tenis olympikus masculino original corrida barato sonor,2
12508,tenis masculino leve macio para academia treino caminhada,tenis masculino leve macio para academia treino caminh,2
12509,tenis feminino adulto plataforma mississipi q3091,tenis feminino adulto plataforma mississipi q3091,1
12510,tenis esportivo feminino olympikus infinite preto,tenis esportivo feminino olympikus infinite pret,1
12511,tenis masculino para corrida macio corrida alcalay carteira,tenis masculino para corrida macio corrida alcalay cart,2
12512,tenis actvitta confortavel feminino 4807 106 ,tenis actvitta confortavel feminino 4807 106 ,1
12513,bicicleta eletrica tecfalcon 10ah motor dianteiro 350w,bicicleta eletrica tecfalcon 10ah motor dianteiro 350w,0
12514,smart tv philco 50  led ptv50g60sn 4k uhd hdmi usb,smart tv philco 50  led ptv50g60sn 4k uhd hdmi usb,0
12515,bicicleta aro 20 infantil masculina,bicicleta aro 20 infantil masculin,0
12516,kit 10 pares tenis feminino academia tenis feminino ,kit 10 pares tenis feminino academia tenis feminino ,1
12517,tenis under armour charged prompt fem,tenis under armour charged prompt f,2
12518,tenis mz wave prophecy 7 azul e dourado,tenis mz wave prophecy 7 azul e dour,2
12519,tenis esportivo femininotamanho especial box 200,tenis esportivo femininotamanho especial box 200,2
12520,tenis feminino modare ref 7320217 gaspea pronta linho,tenis feminino modare ref 7320217 gaspea pronta l,1
12521,tenis kolosh feminino casual original calce facil,tenis kolosh feminino casual original calce facil,1
12522,tenis infantil bibi roller 20 1155603 feminino lancamento,tenis infantil bibi roller 20 1155603 feminino lanc,1
12523,bike bicicleta houston vermelha e preta ,bike bicicleta houston vermelha e preta ,0
12524,tenis feminino leve academia caminhada metalasse 2500,tenis feminino leve academia caminhada metalasse 2500,1
12525,new balance more 40 br 85 eua  pouco uso,new balance more 40 br 85 eua  pouco us,2
12526,tenis branco moleca,tenis branco molec,2
12527,tenis feminino petite jolie kitti,tenis feminino petite jolie kitt,1
12528,sapatenis pegada em couro legitimo branco conhaque,sapatenis pegada em couro legitimo branco conhaqu,2
12529,tenis feminino actvitta promocao 4812102,tenis feminino actvitta promocao 4812102,1
12530,tenis street logus lg19 preto com listra branca,tenis street logus lg19 preto com listra branc,2
12531,tenis masculino court vision nike,tenis masculino court vision nik,2
12532,tenis olympikus gravidade  797 masculino original  oferta ,tenis olympikus gravidade  797 masculino original  oferta ,2
12533,sapatenis west coast couro ,sapatenis west coast couro ,2
12534,tenis infanto juvenil com solado macio tenis pra crianca,tenis infanto juvenil com solado macio tenis pra crianc,2
12535,tenis olympikus cash,tenis olympikus cash,2
12536,tenis chunky feminino mississipi q2303,tenis chunky feminino mississipi q2303,1
12537,tenis casual feminino salto plataforma lona colorido,tenis casual feminino salto plataforma lona color,1
12538,tenis masculino olympikus vetor preto  4345,tenis masculino olympikus vetor preto  4345,2
12539,tenis kolosh caminhada k982205,tenis kolosh caminhada k982205,2
12540,slip on tenis feminino kit 3 pares com relogio de brinde 519,slip on tenis feminino kit 3 pares com relogio de brinde 519,1
12541,tenis chunky mississipi q3822,tenis chunky mississipi q3822,2
12542,tenis masculino tommy hilfiger tate 9c original,tenis masculino tommy hilfiger tate 9c orig,2
12543,tenis masculino oakley flak 365 original com garantia,tenis masculino oakley flak 365 original com garant,2
12544,tenis feminino desenho,tenis feminino desenh,1
12545,tenis esportivo feminino olympikus anyway preto e dourado ,tenis esportivo feminino olympikus anyway preto e dourado ,1
12546,sandalias casuales de cuna con plataforma de moda para mujer,sandalias casuales de cuna con plataforma de moda para muj,2
12547,tenis masculino casual sapato cinto carteira brinde igreja,tenis masculino casual sapato cinto carteira brinde igrej,2
12548,tenis dolce e gabbana elastico ,tenis dolce e gabbana elastico ,2
12549,sapatenis casual feminino moleca original flat,sapatenis casual feminino moleca original flat,1
12550,tenis skechers feminino go run fast preto e rosa,tenis skechers feminino go run fast preto e r,1
12551,tenis usthemp move tem  lunna labrador 3,tenis usthemp move tem  lunna labrador 3,2
12552,tenis actvita feminino lycra viena protection slip on,tenis actvita feminino lycra viena protection slip on,1
12553,sapatenis masculino laroche em couro 048012600 cafe 716,sapatenis masculino laroche em couro 048012600 cafe 716,2
12554,bicicleta caloi aluminio aro 26 shimano com suspensao 21v,bicicleta caloi aluminio aro 26 shimano com suspensao 21v,0
12555,tenis slip on feminino preto super estiloso e confortavel ,tenis slip on feminino preto super estiloso e confortavel ,1
12556,tenis puma carina bdp  feminino,tenis puma carina bdp  feminin,2
12557,tenis sandalo feminino lara preto,tenis sandalo feminino lara pret,1
12558,tenis infantil led feminino meninas patrulha canina luzinha ,tenis infantil led feminino meninas patrulha canina luzinha ,1
12559,tenis puma wired run bdp juvenil marinho,tenis puma wired run bdp juvenil m,2
12560,tenis feminino lancamento academia caminhada super leve,tenis feminino lancamento academia caminhada super lev,1
12561,tenis puma r78 envio imediato,tenis puma r78 envio imediat,2
12562,tenis feminino iate kolosh cinza claro preto,tenis feminino iate kolosh cinza claro pret,1
12563,tenis molekinho preto verde masculino 2133101,tenis molekinho preto verde masculino 2133101,2
12564,sapatos esportivos femininos deslizantes florais cano baixo,sapatos esportivos femininos deslizantes florais cano baix,2
12565,bicicleta caicara pouco usada,bicicleta caicara pouco us,0
12566,tenis dg day master preto diamante,tenis dg day master preto diam,2
12567,tenis feminino casual via angel barato confortavel,tenis feminino casual via angel barato conforta,1
12568,bicicleta pro tork big fat ultra bikes infantil preto,bicicleta pro tork big fat ultra bikes infantil pret,0
12569,tenis freeday dalua brancobranco  58303,tenis freeday dalua brancobranco  58303,2
12570,tenis chunky dakota dad sneaker,tenis chunky dakota dad sneak,2
12571,sapatilha mtb absolute nero preto modelo novo,sapatilha mtb absolute nero preto modelo nov,0
12572,tenis bota coturno adventure feminina conforto e envio hoje,tenis bota coturno adventure feminina conforto e envio hoj,2
12573,tenis casual feminino de amarrar azul claro,tenis casual feminino de amarrar azul clar,1
12574,tenis de menina infantil sapatenis atacado feminino barato,tenis de menina infantil sapatenis atacado feminino barat,1
12575,tenis salto alto feminino plataforma casual branco preto,tenis salto alto feminino plataforma casual branco pret,1
12576,tenis usthemp chunky smooth tem  bikes 2,tenis usthemp chunky smooth tem  bikes 2,2
12577,tenis toy klin menina   942,tenis toy klin menina   942,2
12578,kit tenis infantil calce facil e papete infantil menino,kit tenis infantil calce facil e papete infantil menin,2
12579,tenis infantil masculino meninos promocao b envio em 24h,tenis infantil masculino meninos promocao b envio em 24h,2
12580,bicicleta aro 29 aluminio rava storm 27v shimano f disco,bicicleta aro 29 aluminio rava storm 27v shimano f disc,0
12581,tenis fila sparky masculino,tenis fila sparky masculin,2
12582,smartv samsung serif 4k 55 pol 120 fps,smartv samsung serif 4k 55 pol 120 fp,2
12583,tenis schutz feminino slip on smash azul claro,tenis schutz feminino slip on smash azul clar,1
12584,tenis casual piccadilly feminino bordo 994002 ,tenis casual piccadilly feminino bordo 994002 ,1
12585,sapatos leves masculinos de verao u,sapatos leves masculinos de verao u,2
12586,tenis rogerio melo 37,tenis rogerio melo 37,2
12587,tenis feminino vizzano branco 1336201 plataforma promocao,tenis feminino vizzano branco 1336201 plataforma promoca,1
12588,bicicleta passeio calil bike aro 26 sem marcha  azul,bicicleta passeio calil bike aro 26 sem marcha  azul,0
12589,tenis infantil pamplim,tenis infantil pamplim,2
12590,tenis masculino olympikus cyber corrida academia treino nfe,tenis masculino olympikus cyber corrida academia treino nf,2
12591,tenis infantil masculino menino escolar b barato,tenis infantil masculino menino escolar b barat,2
12592,tenis usthemp slipon vegano casual ella,tenis usthemp slipon vegano casual ell,2
12593,tenis classic tn1 cross areia,tenis classic tn1 cross are,2
12594,tenis puma r78 futr decon feminino casual,tenis puma r78 futr decon feminino cas,1
12595,abotinado infantil novope napa preto 223377,abotinado infantil novope napa preto 223377,2
12596,bicicleta speed oggi velloce disc 2022 54  16v grafite preto,bicicleta speed oggi velloce disc 2022 54  16v grafite pret,0
12597,tenis esportivo 36,tenis esportivo 36,2
12598,tenis feminino under armour ua w hovr rise bordo,tenis feminino under armour ua w hovr rise bord,1
12599,tenis ddgg,tenis ddgg,2
12600,tenis abotinado feminino quiz forrado em la 65177303 ,tenis abotinado feminino quiz forrado em la 65177303 ,1
12601,tenis usthemp long tematico  shihtzu preto e branco,tenis usthemp long tematico  shihtzu preto e branc,2
12602,bicicleta 29 mtb kls sport gold freio disco 21v,bicicleta 29 mtb kls sport gold freio disco 21v,0
12603,tenis fem syg star 100,tenis fem syg star 100,2
12604,tenis feminino casual capricho like class pretocobre,tenis feminino casual capricho like class pretocobr,1
12605,sapatenis pegada  couro marrom,sapatenis pegada  couro marrom,2
12606,tenis sneaker solado chunky feminino branco original  dubuy,tenis sneaker solado chunky feminino branco original  dubuy,1
12607,tenis original polo plus   brinde oclus,tenis original polo plus   brinde oclu,2
12608,smart tv 4k samsung qled 55  com modo game alexa  55q70aa,smart tv 4k samsung qled 55  com modo game alexa  55q70a,0
12609,tenis infantil converse all star cano alto preto ,tenis infantil converse all star cano alto preto ,2
12610,tenis mizuno wave creation 22 feminino 9443,tenis mizuno wave creation 22 feminino 9443,1
12611,tenis new balance 520 corrida masculino marinho,tenis new balance 520 corrida masculino m,2
12612,tenis feminino casual via marte 2013509,tenis feminino casual via marte 2013509,1
12613,tenis everlast racer preto e branco,tenis everlast racer preto e branc,2
12614,tenis modare lycra viena preto feminino,tenis modare lycra viena preto feminin,2
12615,tenis fitness dynamic olympikus corrida original,tenis fitness dynamic olympikus corrida orig,2
12616,bicicleta aro 29 mtb athor android aluminio 21v verde,bicicleta aro 29 mtb athor android aluminio 21v v,0
12617,tenis masculino olympikus energia original,tenis masculino olympikus energia orig,2
12618,tenis air nike 95 original seminovo numeracao 40,tenis air nike 95 original seminovo numeracao 40,2
12619,tv 40p tcl led smart full hd hdmi usb comando de voz tv 40,tv 40p tcl led smart full hd hdmi usb comando de voz tv 40,0
12620,tenis advantage feminino branco laranja,tenis advantage feminino branco laranj,1
12621,vm421 tenis rainha voley retro anos 80 volley ,vm421 tenis rainha voley retro anos 80 volley ,2
12622,tv led toshiba 40 tela trincada led queimadoleia descricao,tv led toshiba 40 tela trincada led queimadoleia descrica,0
12623,tenis mississipi feminino x6022 0005  brancoouro thurso,tenis mississipi feminino x6022 0005  brancoouro thurs,1
12624,tenis infantil feminino bibi action naval volt 1167020,tenis infantil feminino bibi action naval volt 1167020,1
12625,tenis usthemp chunky smooth tem  chico shihtzu 2,tenis usthemp chunky smooth tem  chico shihtzu 2,2
12626,sapatenis masculino london fox lf34,sapatenis masculino london fox lf34,2
12627,tenis masculino casual esportivo super leve palmilha confort,tenis masculino casual esportivo super leve palmilha confort,2
12628,tenis court vision high grey totalmente original,tenis court vision high grey totalmente orig,2
12629,tenis olympikus fourty masculino,tenis olympikus fourty masculin,2
12630,tenis hocks skate galactica gala sneaker branco white couro original masculino e feminino confortavel envio imediato,tenis hocks skate galactica gala sneaker branco white couro original masculino e feminino confortavel envio imediat,2
12631,tenis meia tie dye feminino confortavel tendencia promocao,tenis meia tie dye feminino confortavel tendencia promoca,1
12632,tenis hocks corre peach  brinde,tenis hocks corre peach  brind,2
12633,bicicleta 29 gt sprint mx1 aco 21v freio a disco suspensao,bicicleta 29 gt sprint mx1 aco 21v freio a disco suspensa,0
12634,sapatenis de couro feminino palmilha de gel cadarco leve 218,sapatenis de couro feminino palmilha de gel cadarco leve 218,1
12635,sapatilha spiuk rodda road branco no 34br,sapatilha spiuk rodda road branco no 34br,2
12636,tenis feminino moleca napa 5644106,tenis feminino moleca napa 5644106,1
12637,sapatenis masculino barato 02 pares  corrente e oculos kit,sapatenis masculino barato 02 pares  corrente e oculos kit,2
12638,tenis under armour charged impulse cinza original,tenis under armour charged impulse cinza orig,2
12639,kit 3 pares tenis polo sapatenis casual barato e confortavel,kit 3 pares tenis polo sapatenis casual barato e conforta,2
12640,tenis infantil luz led menina novo slip on luzinha promocao,tenis infantil luz led menina novo slip on luzinha promoca,2
12641,tenis masculino olympikus insight calcado confortavel 719,tenis masculino olympikus insight calcado confortavel 719,2
12642,tenis feminino olympikus veloz 838,tenis feminino olympikus veloz 838,1
12643,tenis slip com paete,tenis slip com paet,2
12644,tenis molekinho menino estampa  2609105,tenis molekinho menino estampa  2609105,2
12645,sapatilha mtb ciclismo asw furi,sapatilha mtb ciclismo asw fur,0
12646,bicicleta aro 29 gta 27v aluminio freio a disco suspensao,bicicleta aro 29 gta 27v aluminio freio a disco suspensa,0
12647,tenis feminino casual fechamento elastico piccadilly 970037,tenis feminino casual fechamento elastico piccadilly 970037,1
12648,tenis kidy socks fun 1020031,tenis kidy socks fun 1020031,2
12649,tenis plataforma amarelo beira rio  promocao ,tenis plataforma amarelo beira rio  promocao ,1
12650,tenis akatuki star cano alto masculino preto,tenis akatuki star cano alto masculino pret,2
12651,bike feminina com garantia e nf,bike feminina com garantia e nf,0
12652,tenis casual feminino rainha mont car  creme 4201,tenis casual feminino rainha mont car  creme 4201,1
12653,tenis masculino esportivo casual envio imediato,tenis masculino esportivo casual envio imediat,2
12654,moda sapatos esportivos confortaveis sapatos de corrida resp,moda sapatos esportivos confortaveis sapatos de corrida resp,2
12655,tenis infantil menino jogging running asics fantasy 4,tenis infantil menino jogging running asics fantasy 4,2
12656,tenis feminino sneaker vizzano  1360103,tenis feminino sneaker vizzano  1360103,1
12657,tenis unissex olympikus twist original,tenis unissex olympikus twist orig,2
12658,tenis mvp cross academia musculacao c palmilha lpo coral ,tenis mvp cross academia musculacao c palmilha lpo coral ,2
12659,ebike turbo levo sl comp carbon 29  2021,ebike turbo levo sl comp carbon 29  2021,0
12660,tenis mizuno feminino preto wave dynasty 2 corrida original ,tenis mizuno feminino preto wave dynasty 2 corrida original ,1
12661,tenis infantil klin feminino mini moon,tenis infantil klin feminino mini moon,1
12662,sapatenis masculino california cafe couro,sapatenis masculino california cafe cour,2
12663,sapatilha tenis neoprene natacao lazeres infantil,sapatilha tenis neoprene natacao lazeres infantil,2
12664,sapatenis masculino couro 7013613 ferracini 08  petroleo,sapatenis masculino couro 7013613 ferracini 08  petrole,2
12665,sandalia anabela azaleia maxi fivela feminina verde hortela,sandalia anabela azaleia maxi fivela feminina verde hortel,2
12666,tenis asics gel shogun 3 feminino laranja,tenis asics gel shogun 3 feminino laranj,1
12667,tenis sapatenis casual feminino branco estilo tay day,tenis sapatenis casual feminino branco estilo tay day,1
12668,tenis infantil botinho 764ba calcado casual velcro conforto,tenis infantil botinho 764ba calcado casual velcro confort,2
12669,bota para neve toda forrada de pelo bota para frio neve,bota para neve toda forrada de pelo bota para frio nev,2
12670,tennis mizuno prow x,tennis mizuno prow x,2
12671,tenis world colors gabyy souza cano medio  gliter prata ,tenis world colors gabyy souza cano medio  gliter prata ,2
12672,tenis puma comet v bdp,tenis puma comet v bdp,2
12673,tenis infantil oxii 430 azulpreto,tenis infantil oxii 430 azulpret,2
12674,tenis vans ultrarange hi mte couro black preto raro 42 br,tenis vans ultrarange hi mte couro black preto raro 42 br,2
12675,tenis masculino adidas 8k 2020 ,tenis masculino adidas 8k 2020 ,2
12676,sapatenis ferracini max float masculino 7126566a,sapatenis ferracini max float masculino 7126566,2
12677,smart tv lg ai thinq 75nano90sna led 4k 60,smart tv lg ai thinq 75nano90sna led 4k 60,0
12678,kit 2 pares tenis de caminhada mais tenis colmeia urbano ,kit 2 pares tenis de caminhada mais tenis colmeia urbano ,2
12679,sapatilha neoprene ciclismo bike caminhada corrida cravo,sapatilha neoprene ciclismo bike caminhada corrida crav,0
12680,tenis freeday new boss vermelhobranconatural,tenis freeday new boss vermelhobranconat,2
12681,tenis masculino actvitta esportivo cairo tecido flt,tenis masculino actvitta esportivo cairo tecido flt,2
12682,tenis feminino academia casual utraleve cnota fiscal ,tenis feminino academia casual utraleve cnota fiscal ,1
12683,tenis gel lyte ,tenis gel lyte ,2
12684,tenis renata della vecchia preto com detalhe xadrez macia,tenis renata della vecchia preto com detalhe xadrez mac,2
12685,tenis sneaker chunky preto meia feminino lancamento promocao,tenis sneaker chunky preto meia feminino lancamento promoca,1
12686,tenis tie dye ,tenis tie dye ,2
12687,speed specialized tarmac  shimano 105 de 11 rodas mavic,speed specialized tarmac  shimano 105 de 11 rodas mavic,0
12688,tenis ielgy casuales de malla cagujetas plataforma pmujer,tenis ielgy casuales de malla cagujetas plataforma pmuj,2
12689,bicicleta aro 29 z4x cambio 24v preto e vermelho 15,bicicleta aro 29 z4x cambio 24v preto e vermelho 15,0
12690,tenis masculino olympikus 772 fourty,tenis masculino olympikus 772 fourty,2
12691,tenis fem 5674101 preto matelasse moleca 93052,tenis fem 5674101 preto matelasse moleca 93052,2
12692,tenis soulier running feminino couro laser kit 3 pares,tenis soulier running feminino couro laser kit 3 p,1
12693,tenis nike air force 1 original,tenis nike air force 1 orig,2
12694,tenis de skate sapatenis rb retro tenis classico grafite old,tenis de skate sapatenis rb retro tenis classico grafite old,2
12695,tenis led feminino infantil tenis luzinha incrivel,tenis led feminino infantil tenis luzinha incri,1
12696,tenis olympikus acao masculino 940,tenis olympikus acao masculino 940,2
12697,tenis feminino venus treino academia leve macio olympikus,tenis feminino venus treino academia leve macio olympiku,1
12698,almofada de ar de sapatos de camurca de alta qualidade para,almofada de ar de sapatos de camurca de alta qualidade p,2
12699,tenis feminino plataforma ,tenis feminino plataforma ,1
12700,bicicleta de liberacao rapida espeto de bicicleta dourado,bicicleta de liberacao rapida espeto de bicicleta dour,0
12701,tenis coca cola blend canvas feminino azul celeste,tenis coca cola blend canvas feminino azul cel,1
12702,tenis adidas response super 20,tenis adidas response super 20,2
12703,smart tv led 55  ultra hd 4k 55um 761 pro 4 hdmi 2 usb wifi,smart tv led 55  ultra hd 4k 55um 761 pro 4 hdmi 2 usb wif,0
12704,tenis rainha v l 2500 futsal capoeira volei,tenis rainha v l 2500 futsal capoeira vol,2
12705,tenis calce facil feminino sola shoes slipon promocao,tenis calce facil feminino sola shoes slipon promoca,1
12706,tenis ascension calce facil confortavel masculino preto azul,tenis ascension calce facil confortavel masculino preto azul,2
12707,tenis asics tiger edicao cidade  new york 43 frete gratis,tenis asics tiger edicao cidade  new york 43 frete gratil,2
12708,sapatenis pegada masculino pegada 119301 couro branco,sapatenis pegada masculino pegada 119301 couro branc,2
12709,tenis asics gel craze tr 4 running original 1magnus,tenis asics gel craze tr 4 running original 1magnu,2
12710,tenis fila interceptor begerosa feminino,tenis fila interceptor begerosa feminin,2
12711,tenis feminino plataforma via marte casual 2013623,tenis feminino plataforma via marte casual 2013623,1
12712,tenis iate feminino via marte,tenis iate feminino via mart,1
12713,tenis kolosh c2183 feminino casual promocao,tenis kolosh c2183 feminino casual promoca,1
